"stat_month","storeid","store_type","total_sales_qty","total_begin_qty","total_end_qty","avg_inventory_qty","turnover_ratio"
"2023-03-01","170559",社区店,10817.4940,20469.7100,25515.2160,22992.46300000,0.47048000
"2023-03-01","175268",院外店,5765.7000,13512.9000,15867.6440,14690.27200000,0.39248422
"2023-03-01","176166",院外店,17619.0160,39946.2360,38445.6600,39195.94800000,0.44951115
"2023-03-01","177278",院外店,16471.2900,31282.6000,32495.6100,31889.10500000,0.51651778
"2023-03-01","178668",社区店,8647.0616,16898.7860,19235.7492,18067.26760000,0.47860372
"2023-03-01","179249",社区店,10169.5382,14275.9520,18152.1554,16214.05370000,0.62720516
"2023-03-01","181624",社区店,6524.6200,15092.1320,38015.5920,26553.86200000,0.24571265
"2023-03-01","182399",社区店,9338.8460,20153.2760,23931.8300,22042.55300000,0.42367351
"2023-03-01","182985",社区店,9671.9200,13533.2400,16861.0400,15197.14000000,0.63643027
"2023-03-01","183039",社区店,19119.3000,80928.2400,81577.4400,81252.84000000,0.23530623
"2023-03-01","184054",社区店,23524.4181,44568.3819,51225.5541,47896.96800000,0.49114628
"2023-03-01","189606",社区店,20379.4726,32441.7680,41992.7036,37217.23580000,0.54758157
"2023-03-01","190106",院外店,10174.0000,27348.0000,31934.0000,29641.00000000,0.34324078
"2023-03-01","190375",社区店,34448.0427,68776.6932,78708.5727,73742.63295000,0.46713876
"2023-03-01","191398",社区店,16423.6804,24888.4056,28014.6636,26451.53460000,0.62089707
"2023-03-01","192925",社区店,63151.9000,38802.5000,49790.9000,44296.70000000,1.42565699
"2023-03-01","193138",社区店,6807.6660,18150.7660,18943.5000,18547.13300000,0.36704680
"2023-03-01","193416",社区店,10643.0460,31574.2020,39301.4360,35437.81900000,0.30033016
"2023-03-01","198166",院外店,8385.9740,33802.0220,28057.0080,30929.51500000,0.27113176
"2023-03-01","198757",院外店,15493.7520,30461.9400,51776.1880,41119.06400000,0.37680215
"2023-03-01","199489",院外店,1212.5500,4760.4000,5004.6500,4882.52500000,0.24834486
"2023-03-01","199507",社区店,62632.0720,41245.9320,46795.6600,44020.79600000,1.42278372
"2023-03-01","201010",社区店,6613.0480,12937.0360,15800.7880,14368.91200000,0.46023303
"2023-03-01","201113",社区店,33359.1654,30406.1960,31786.5774,31096.38670000,1.07276661
"2023-03-01","202020",社区店,79268.4000,63354.0000,107389.2000,85371.60000000,0.92851018
"2023-03-01","206516",社区店,23822.1680,47380.9840,81804.2160,64592.60000000,0.36880645
"2023-03-01","206688",社区店,8904.7900,9950.2200,13899.5900,11924.90500000,0.74673886
"2023-03-01","206718",社区店,3539.1900,9069.9200,10601.7300,9835.82500000,0.35982645
"2023-03-01","207313",社区店,10538.1600,13549.0000,22029.3200,17789.16000000,0.59239222
"2023-03-01","207321",社区店,6703.4974,14570.3066,39453.6494,27011.97800000,0.24816758
"2023-03-01","208556",社区店,25714.0174,37731.4090,36179.4400,36955.42450000,0.69581171
"2023-03-01","208696",社区店,15272.9876,31968.4238,34487.3002,33227.86200000,0.45964400
"2023-03-01","209415",社区店,6792.0000,17692.0000,20886.0000,19289.00000000,0.35211778
"2023-03-01","212947",社区店,300.0000,0.0000,28791.0000,14395.50000000,0.02083984
"2023-03-01","213054",社区店,700.3334,0.0000,20603.0000,10301.50000000,0.06798363
"2023-03-01","32797",院外店,12708.6200,16842.0600,17443.5800,17142.82000000,0.74133777
"2023-03-01","32821",院外店,15984.9000,41105.3994,44750.3874,42927.89340000,0.37236628
"2023-03-01","38696",社区店,36046.2210,74281.4590,84433.7986,79357.62880000,0.45422502
"2023-03-01","40505",社区店,82006.8200,34997.2720,52858.1540,43927.71300000,1.86685839
