"WAVEID","WAVEDTLID","PRINTDATE","SCATTERFINPACKS","WHOLEFINPACKS"
"4416460","9238086","2024/1/5 12:27:30","0","1"
"4416592","9238319","2024/1/5 12:27:32","1","0"
"4416603","9238338","2024/1/5 12:27:35","1","0"
"4416615","9238351","2024/1/5 12:27:49","1","0"
"4416622","9238359","2024/1/5 12:28:02","1","0"
"4416463","9238089","2024/1/5 12:28:16","1","1"
"4416601","9238328","2024/1/5 12:28:30","1","0"
"4416596","9238323","2024/1/5 12:29:42","1","1"
"4416621","9238358","2024/1/5 12:29:55","0","3"
"4416212","9237722","2024/1/5 12:32:03","0","1"
"4416207","9237714","2024/1/5 12:33:48","1","0"
"4415917","9237157","2024/1/5 12:34:02","1","0"
"4416604","9238339","2024/1/5 12:36:55","0","1"
"4416613","9238348","2024/1/5 12:37:20","0","20"
"4416594","9238321","2024/1/5 12:37:34","0","50"
"4416606","9238341","2024/1/5 12:37:48","0","1"
"4416605","9238340","2024/1/5 12:38:25","1","1"
"4416211","9237721","2024/1/5 12:42:04","1","0"
"4416210","9237718","2024/1/5 12:42:41","1","0"
"4416208","9237715","2024/1/5 12:43:40","1","0"
"4416612","9238347","2024/1/5 12:54:59","2","0"
"4416723","9238523","2024/1/5 13:27:43","1","0"
"4416725","9238525","2024/1/5 13:27:46","1","0"
"4417136","9239355","2024/1/5 15:27:45","1","24"
"4417138","9239357","2024/1/5 15:27:48","0","30"
"4417142","9239362","2024/1/5 15:27:50","1","0"
"4417144","9239364","2024/1/5 15:27:53","0","10"
"4417147","9239367","2024/1/5 15:27:55","1","0"
"4417152","9239376","2024/1/5 15:27:58","0","1"
"4417154","9239379","2024/1/5 15:28:00","2","0"
"4417190","9239439","2024/1/5 15:28:03","15","0"
"4417240","9239574","2024/1/5 15:28:05","1","0"
"4417146","9239366","2024/1/5 15:28:43","0","2"
"4417132","9239351","2024/1/5 15:43:43","0","7"
"4417139","9239358","2024/1/5 15:43:45","0","1"
"4417149","9239372","2024/1/5 15:43:48","0","2"
"4417188","9239437","2024/1/5 15:43:51","1","0"
"4417193","9239442","2024/1/5 15:43:53","1","0"
"4417276","9239643","2024/1/5 15:44:19","1","0"
"4417277","9239645","2024/1/5 15:54:33","1","0"
"4417274","9239640","2024/1/5 15:55:59","1","0"
"4417395","9239864","2024/1/5 15:56:37","1","0"
"4417391","9239859","2024/1/5 16:01:11","1","0"
"4417396","9239865","2024/1/5 16:02:24","1","0"
"4417143","9239363","2024/1/5 16:10:44","1","0"
