"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4426298,9256799,"2024-01-10 12:24:22",1,0
4427667,9259612,"2024-01-10 12:24:25",1,0
4427667,9259617,"2024-01-10 12:24:29",1,0
4427667,9259619,"2024-01-10 12:24:32",1,0
4427667,9259621,"2024-01-10 12:24:35",1,0
4427667,9259624,"2024-01-10 12:24:38",3,2
4427667,9259625,"2024-01-10 12:24:41",1,0
4427667,9259626,"2024-01-10 12:24:44",1,0
4427667,9259629,"2024-01-10 12:24:51",2,0
4427667,9259633,"2024-01-10 12:24:54",1,0
4428275,9260959,"2024-01-10 12:25:19",1,0
4428275,9260960,"2024-01-10 12:25:23",1,0
4428937,9262007,"2024-01-10 12:26:06",1,0
4429047,9262187,"2024-01-10 12:26:09",1,0
4429048,9262188,"2024-01-10 12:26:12",1,0
4429243,9262576,"2024-01-10 12:27:19",1,0
4429601,9263271,"2024-01-10 12:27:30",1,0
4429069,9262215,"2024-01-10 12:34:08",1,0
4428633,9261454,"2024-01-10 12:48:02",1,0
4428177,9260790,"2024-01-10 12:50:00",1,0
4430497,9264852,"2024-01-10 15:49:56",1,0
4430461,9264812,"2024-01-10 15:54:23",1,0
4430484,9264838,"2024-01-10 16:33:23",1,0
4430492,9264846,"2024-01-10 16:33:50",1,0
4430492,9264847,"2024-01-10 16:34:05",1,0
4425007,9254360,"2024-01-10 16:38:56",1,0
4425007,9254359,"2024-01-10 16:39:36",1,0
4425007,9254361,"2024-01-10 17:06:34",3,0
4431223,9266190,"2024-01-10 17:06:49",1,0
4425007,9254362,"2024-01-10 18:46:21",1,0
4425007,9254365,"2024-01-10 18:47:01",1,0
4427667,9259623,"2024-01-10 18:51:34",6,0
4427667,9259615,"2024-01-10 18:52:00",1,0
4427667,9259636,"2024-01-10 18:52:21",1,0
4427667,9259614,"2024-01-10 18:53:08",1,0
4427667,9259611,"2024-01-10 18:53:45",4,0
4427667,9259618,"2024-01-10 18:53:48",1,0
4427667,9259613,"2024-01-10 18:54:39",1,0
4427667,9259631,"2024-01-10 18:56:22",1,0
4427667,9259632,"2024-01-10 18:56:37",1,0
4427667,9259634,"2024-01-10 18:57:24",1,0
4427667,9259610,"2024-01-10 18:58:50",2,0
4427667,9259635,"2024-01-10 18:58:54",2,0
4427667,9259628,"2024-01-10 18:59:23",1,0
4427667,9259622,"2024-01-10 19:07:31",3,0
4427667,9259620,"2024-01-10 20:41:22",1,0
4427667,9259630,"2024-01-10 20:41:58",1,0
4429757,9263663,"2024-01-11 12:31:47",2,0
4429757,9263664,"2024-01-11 12:31:50",1,0
4429983,9264008,"2024-01-11 12:31:57",1,0
4429991,9264015,"2024-01-11 12:32:00",1,0
4429991,9264016,"2024-01-11 12:32:03",1,0
4430915,9265624,"2024-01-11 12:32:06",2,0
4431119,9266027,"2024-01-11 12:32:09",1,0
4431152,9266084,"2024-01-11 12:32:12",1,0
4431239,9266220,"2024-01-11 12:32:16",1,0
4431354,9266481,"2024-01-11 12:32:19",4,0
4431653,9267155,"2024-01-11 12:32:40",13,0
4431653,9267156,"2024-01-11 12:32:43",2,0
4431653,9267157,"2024-01-11 12:32:46",2,0
4431653,9267158,"2024-01-11 12:32:50",1,0
4431697,9267294,"2024-01-11 12:32:53",1,0
4431941,9267698,"2024-01-11 12:32:56",2,0
4431941,9267699,"2024-01-11 12:32:59",1,0
4431941,9267700,"2024-01-11 12:33:02",1,0
4432432,9268468,"2024-01-11 12:34:03",1,0
4432436,9268477,"2024-01-11 12:34:07",1,0
4432441,9268491,"2024-01-11 12:34:10",1,0
4432443,9268493,"2024-01-11 12:34:13",1,0
4432449,9268502,"2024-01-11 12:34:16",1,0
4432452,9268514,"2024-01-11 12:34:19",1,0
4432456,9268526,"2024-01-11 12:34:22",1,0
4432457,9268527,"2024-01-11 12:34:25",1,0
4432759,9269146,"2024-01-11 12:34:28",1,0
4432759,9269147,"2024-01-11 12:34:31",1,0
4432834,9269261,"2024-01-11 12:34:34",1,0
4432834,9269262,"2024-01-11 12:34:37",1,0
4433044,9269646,"2024-01-11 12:35:13",1,0
4432449,9268501,"2024-01-11 12:35:38",1,0
4433314,9270108,"2024-01-11 13:06:52",1,0
4433548,9270627,"2024-01-11 15:02:01",1,0
4432736,9269102,"2024-01-11 16:43:04",2,0
4434419,9272232,"2024-01-11 16:47:57",1,0
4429770,9263681,"2024-01-11 16:58:38",3,0
4432758,9269145,"2024-01-11 17:12:25",2,0
4432711,9269046,"2024-01-11 17:13:14",1,0
4432711,9269047,"2024-01-11 17:18:22",1,0
4432711,9269045,"2024-01-11 17:18:53",6,4
4432727,9269077,"2024-01-11 17:19:53",1,0
4433322,9270116,"2024-01-11 17:20:18",1,0
4433325,9270133,"2024-01-11 17:20:33",1,0
4432968,9269516,"2024-01-11 17:24:23",2,0
4433039,9269641,"2024-01-11 17:25:45",1,0
4432711,9269048,"2024-01-11 17:27:52",1,0
4432968,9269517,"2024-01-11 17:31:19",1,0
4432727,9269076,"2024-01-11 17:34:56",7,0
4433391,9270359,"2024-01-11 18:22:23",1,0
4433391,9270358,"2024-01-11 18:36:36",1,0
4433325,9270131,"2024-01-11 18:38:40",2,0
4433039,9269640,"2024-01-11 18:43:18",1,0
4432727,9269075,"2024-01-11 18:48:27",8,3
4432968,9269515,"2024-01-11 18:56:57",1,0
4433013,9269592,"2024-01-11 19:02:10",3,0
4433325,9270132,"2024-01-11 19:55:32",1,0
4433325,9270130,"2024-01-11 19:56:30",2,0
4433039,9269639,"2024-01-11 20:43:42",2,0
4433307,9270099,"2024-01-11 21:00:54",5,0
4433307,9270101,"2024-01-11 21:03:52",1,0
4433562,9270666,"2024-01-11 21:13:22",1,0
4433307,9270102,"2024-01-11 21:28:33",1,0
4433307,9270097,"2024-01-11 21:37:43",1,0
4434789,9273032,"2024-01-11 21:41:28",1,0
4434789,9273040,"2024-01-11 21:41:53",1,0
4433548,9270628,"2024-01-11 21:48:26",2,0
4433307,9270098,"2024-01-11 21:50:15",1,0
4435081,9273722,"2024-01-12 09:47:22",1,0
4435081,9273723,"2024-01-12 09:51:45",1,0
4435081,9273724,"2024-01-12 09:57:51",1,0
4435081,9273725,"2024-01-12 09:58:39",1,0
4434789,9273039,"2024-01-12 10:02:06",1,0
4435081,9273728,"2024-01-12 10:09:04",1,0
4429795,9263729,"2024-01-12 10:22:54",2,0
4429795,9263730,"2024-01-12 10:24:19",1,0
4431169,9266118,"2024-01-12 10:24:23",1,0
4433403,9270393,"2024-01-12 10:26:03",2,0
4431169,9266119,"2024-01-12 10:27:37",1,0
4433408,9270416,"2024-01-12 10:30:50",1,0
4433408,9270413,"2024-01-12 10:32:12",1,0
4432742,9269117,"2024-01-12 10:34:09",1,0
